species,phase,n_bins_lo,n_bins_hi,D_lo,D_hi,epsilon_binning_pct,bins_faltantes_lo,bins_faltantes_hi
GCR_He,min,8,16,0.3949167896727124,0.3703843510188007,6.623508414011376,,
GCR_He,min,16,32,0.3703843510188007,0.37073022215976537,0.09329456307870944,,
SEP_p,max,8,16,0.0,64.69407673915869,100.0,,
SEP_p,max,16,32,64.69407673915869,36.95359015205052,75.06844794502022,,
GCR_H,min,8,16,0.5884173041309093,0.9466230380564838,37.84037779822139,,
GCR_H,min,16,32,0.9466230380564838,0.7558356225399185,25.241918987020107,,
