organo_id,offset_x_m,D_absorbida_GCR_Gy_dia,D_equivalente_GCR_Sv_dia,D_absorbida_SEP_Gy_evento,D_equivalente_SEP_Sv_evento
0,2.0,0.0,0.0,0.0,0.0
0,3.0,0.0,0.0,0.0,0.0
0,4.0,0.0,0.0,0.0,0.0
1,2.0,0.02206931140751768,0.2464223869176657,0.0,0.0
1,3.0,0.04071362706310702,0.4672349086958801,0.0,0.0
1,4.0,1.03277197301886,2.2797766620421815,0.0,0.0
2,2.0,0.03457734997065595,0.39202001649044554,0.0,0.0
2,3.0,0.04940240208789589,0.35979380806166283,181.1306934509038,362.2613869018076
2,4.0,0.03158460612534284,0.45192961919333874,0.0,0.0
3,2.0,0.015957843722858394,0.270419584523501,89.63896801824956,179.2779360364991
3,3.0,0.02339349232637999,0.3330250679901095,29.595708509622693,59.191417019245385
3,4.0,0.009448460582592829,0.14362897672768346,0.0,0.0
4,2.0,0.021291091887942953,0.26499002637237756,0.0,0.0
4,3.0,0.014733425624531993,0.13708791916870716,0.0,0.0
4,4.0,0.03497011842979816,0.4050420544803762,0.0,0.0
5,2.0,0.019308881161513962,0.17091379859974845,0.0,0.0
5,3.0,0.024535980349456504,0.34563723079914266,0.0,0.0
5,4.0,0.023811842567369707,0.26277387723377665,23.488568683044193,46.977137366088385
6,2.0,0.019641223774070224,0.24884371937110478,0.0,0.0
6,3.0,0.02215068552543222,0.4017162940924004,0.0,0.0
6,4.0,0.02463062104349657,0.21023163643239076,2.482264623116959,4.964529246233918
7,2.0,0.01637518268843223,0.07348143496905432,0.0,0.0
7,3.0,0.011956493537732836,0.11761002146097231,0.0,0.0
7,4.0,0.017558417556254213,0.19304855843394883,0.0,0.0
8,2.0,0.026315484951540465,0.2507657311741829,0.0,0.0
8,3.0,0.04270510186489367,0.2900218386408882,0.0,0.0
8,4.0,0.024047048823152988,0.21233880597463362,0.0,0.0
9,2.0,0.028263679574773697,0.18148377834218204,0.0,0.0
9,3.0,0.012510516834477403,0.19918397982410088,0.0,0.0
9,4.0,0.008586515864251042,0.08727701702213854,0.0,0.0
10,2.0,0.04547159634790737,0.39087339490808026,6.986425695128192,13.972851390256384
10,3.0,0.09107652556156504,0.4592114746759283,2.780541222620484,5.561082445240968
10,4.0,0.048800590348699796,0.39018657490609276,3.170555550007527,6.341111100015054
11,2.0,0.04349945166957204,0.46519636804161785,0.0,0.0
11,3.0,0.0705734797350586,1.1642638364220994,0.0,0.0
11,4.0,0.04169938267995058,0.3069186634575632,0.0,0.0
12,2.0,0.0414287856396465,0.43545402571867536,6.618783210439081,13.237566420878162
12,3.0,0.03569492852824242,0.3506520651319307,9.526244573036738,19.052489146073476
12,4.0,0.07060691831577472,0.3604621881699433,4.5037768647028775,9.007553729405755
13,2.0,0.01389538755941361,0.09663407657187945,23.708445036939956,47.41689007387991
13,3.0,0.015700718406013905,0.13372215501984658,0.0,0.0
13,4.0,0.014992004938059213,0.11112540245345856,0.0,0.0
14,2.0,0.025269579109743662,0.10811725923409521,53.09294930048404,106.18589860096807
14,3.0,0.021203122855552706,0.13871442769772385,0.0,0.0
14,4.0,0.02041365759786715,0.15712124522714305,0.0,0.0
15,2.0,0.02387772135975541,0.25488732539861025,30.391237184950988,60.782474369901976
15,3.0,0.031186786838692086,0.3121437652872513,0.0,0.0
15,4.0,0.03618529617957293,0.33103154006753704,0.0,0.0
16,2.0,0.019509395445747365,0.17531188607812087,22.25592186432453,44.51184372864906
16,3.0,0.032604553854015096,0.24002254298810202,2.8508401826977905,5.701680365395581
16,4.0,0.02716928102812928,0.21569297669775744,0.0,0.0
17,2.0,0.02685714341990931,0.26057956598662,37.80896302708689,75.61792605417378
17,3.0,0.046208515377448994,0.3094914047035825,8.533727322038976,17.06745464407795
17,4.0,0.047933879422488855,0.3700265451411683,0.0,0.0
18,2.0,0.041830447023964656,0.3565683752008408,45.42944055451758,90.85888110903517
18,3.0,0.040775540788009074,0.49906578329785634,0.0,0.0
18,4.0,0.03368684216614772,0.3711863812257111,0.0,0.0
19,2.0,0.04405776800670997,0.27082673039081856,1.7091516998932645,3.418303399786529
19,3.0,0.02520005090105492,0.19175969674770194,1.0961379620611182,2.1922759241222365
19,4.0,0.022680423055042576,0.19516766562990479,4.6913029632351435,9.382605926470287
20,2.0,0.04191107785487666,0.3423614444135376,24.428339759280643,48.856679518561286
20,3.0,0.02843926872201067,0.28888626487194535,11.019504697689467,22.039009395378933
20,4.0,0.030644647142466563,0.24663807325742637,0.0,0.0
21,2.0,0.057557789113025275,0.4351848074892552,0.0,0.0
21,3.0,0.05281197588885325,0.41988398743980954,0.0,0.0
21,4.0,0.04623897668253498,0.4756123293653634,5.110176748155484,10.220353496310969
22,2.0,0.026051624914484758,0.26789911691148205,0.7481570119432844,1.4963140238865689
22,3.0,0.033069718045264845,0.2575651987980428,0.0,0.0
22,4.0,0.02359315544339332,0.19811909675489342,1.8634054455219828,3.7268108910439657
23,2.0,0.046233525414738935,0.49937754576613425,10.548444582942844,21.09688916588569
23,3.0,0.05224121707217873,0.40622604300508747,0.0,0.0
23,4.0,0.06189726436208194,0.3984298347337343,1.261945370319656,2.523890740639312
24,2.0,0.012302291637310067,0.089603831919399,0.0,0.0
24,3.0,0.009081224015241541,0.08147490331153666,0.0,0.0
24,4.0,0.0069397238841197055,0.07687167254177286,0.0,0.0
25,2.0,0.021686754192759408,0.15382998612532434,0.0,0.0
25,3.0,0.013543462115485037,0.1532358665201698,0.0,0.0
25,4.0,0.012894710518683983,0.12458494538295348,0.0,0.0
26,2.0,0.012505418127228949,0.13016906746608317,13.798640819296539,27.597281638593078
26,3.0,0.012123625246094217,0.11431704741730425,7.983575388529549,15.967150777059098
26,4.0,0.01503801307244019,0.1455086078377231,0.8700989229393431,1.7401978458786862
27,2.0,0.02495264373710142,0.19093532962317247,31.26239981326689,62.52479962653378
27,3.0,0.022202752371760462,0.20506135872664907,5.9036416813703285,11.807283362740657
