organo_id,offset_x_m,D_absorbida_GCR_Gy_dia,D_equivalente_GCR_Sv_dia,D_absorbida_SEP_Gy_evento,D_equivalente_SEP_Sv_evento
0,0.0,0.0,0.0,0.0,0.0
0,1.0,0.0,0.0,0.0,0.0
0,2.0,0.0,0.0,0.0,0.0
0,3.0,0.0,0.0,0.0,0.0
0,4.0,0.0,0.0,0.0,0.0
1,0.0,116.05149733113775,930.7701167942092,0.0,0.0
1,1.0,0.06259740022576377,0.3968181502238603,0.0,0.0
1,2.0,0.06238954580680834,0.4262486186206534,0.0,0.0
1,3.0,0.040936107136369755,0.4008558785489842,0.0,0.0
1,4.0,0.3806886960267255,1.0301110881922415,0.0,0.0
2,0.0,139.10287174845217,1097.8251890066003,0.0,0.0
2,1.0,0.0383921293825608,0.2796606872964529,0.0,0.0
2,2.0,0.04382031924623509,0.3787551900824042,0.0,0.0
2,3.0,0.03769489540911203,0.4044160660468666,60.37689781696793,120.75379563393587
2,4.0,0.04125904474859801,0.6100869929110594,0.0,0.0
3,0.0,39.92883652494515,387.7897952810353,0.0,0.0
3,1.0,0.024809794501734837,0.34135214953797216,54.20067385722998,108.40134771445996
3,2.0,0.023830456789205055,0.24046748186765704,29.879656006083184,59.75931201216637
3,3.0,0.015339074123487667,0.23401384439386713,9.86523616987423,19.73047233974846
3,4.0,0.013498393868740109,0.15835569067542196,0.0,0.0
4,0.0,74.01018835771393,462.83021806408163,0.0,0.0
4,1.0,0.02542373533167216,0.2471765948320845,0.0,0.0
4,2.0,0.022960952738107925,0.2559337363499008,0.0,0.0
4,3.0,0.02392185346280264,0.2398835624462347,0.0,0.0
4,4.0,0.03164248109089292,0.28779999211715873,33.123024329699824,66.24604865939965
5,0.0,74.92569428395281,530.8919490432769,4749.826884090673,9499.653768181346
5,1.0,0.022583154326905604,0.2301596172997609,0.0,0.0
5,2.0,0.02990209285760369,0.25916695483345187,0.0,0.0
5,3.0,0.035129832886096314,0.35863864468171375,37.51985617534277,75.03971235068553
5,4.0,0.02022356012793984,0.23446504643125413,7.829522894348064,15.659045788696128
6,0.0,58.04310206267541,595.7638535024296,18583.046361139164,37166.09272227833
6,1.0,0.055396390377652566,0.4584326145121185,0.0,0.0
6,2.0,0.029943880404985895,0.3306410563817747,0.0,0.0
6,3.0,0.024631643886705547,0.34228647339626683,16.30897818974397,32.61795637948794
6,4.0,0.024598149837134244,0.307631473086359,0.8274215410389865,1.654843082077973
7,0.0,61.28184126360287,425.8918757320351,0.0,0.0
7,1.0,0.04712481452734446,0.33568170623283305,0.0,0.0
7,2.0,0.014973824475917783,0.14999444061038542,0.0,0.0
7,3.0,0.016172495293325793,0.1536223402127682,0.0,0.0
7,4.0,0.02542497061248738,0.2009913397931767,0.0,0.0
8,0.0,82.7987979754042,661.4823292664005,259.84123219913016,519.6824643982603
8,1.0,0.031433412581895345,0.2906396028236745,9.690451117510463,19.380902235020926
8,2.0,0.023934922212659193,0.25180334705967455,9.52801192665517,19.05602385331034
8,3.0,0.03145834985403276,0.26273812684245096,0.0,0.0
8,4.0,0.03332944702965411,0.3357884760589535,8.491138856687126,16.982277713374252
9,0.0,54.02148554054439,196.89148410068844,0.0,0.0
9,1.0,0.01342441528135237,0.14533356690490487,0.0,0.0
