especie,fase,bin_index,n_bins,energy_mev,offset_x_m,repeticion,organo_id,edep_J,dose_gy_run,n_eventos,s1_j,s2_j2,n,se_run_j,se_run_total_j
SEP_p,max,0,8,0.019046714781460566,0.0,0,0,0.0,0.0,10000,0.0,0.0,0,0.0,0.0
SEP_p,max,0,8,0.019046714781460566,0.0,0,1,0.0,0.0,10000,0.0,0.0,0,0.0,0.0
SEP_p,max,0,8,0.019046714781460566,0.0,0,2,0.0,0.0,10000,0.0,0.0,0,0.0,0.0
SEP_p,max,0,8,0.019046714781460566,0.0,0,3,0.0,0.0,10000,0.0,0.0,0,0.0,0.0
SEP_p,max,0,8,0.019046714781460566,0.0,0,4,0.0,0.0,10000,0.0,0.0,0,0.0,0.0
SEP_p,max,0,8,0.019046714781460566,0.0,0,5,0.0,0.0,10000,0.0,0.0,0,0.0,0.0
SEP_p,max,0,8,0.019046714781460566,0.0,0,6,0.0,0.0,10000,0.0,0.0,0,0.0,0.0
SEP_p,max,0,8,0.019046714781460566,0.0,0,7,0.0,0.0,10000,0.0,0.0,0,0.0,0.0
SEP_p,max,0,8,0.019046714781460566,0.0,0,8,0.0,0.0,10000,0.0,0.0,0,0.0,0.0
SEP_p,max,0,8,0.019046714781460566,0.0,0,9,0.0,0.0,10000,0.0,0.0,0,0.0,0.0
SEP_p,max,0,8,0.019046714781460566,0.0,0,10,0.0,0.0,10000,0.0,0.0,0,0.0,0.0
SEP_p,max,0,8,0.019046714781460566,0.0,0,11,0.0,0.0,10000,0.0,0.0,0,0.0,0.0
SEP_p,max,0,8,0.019046714781460566,0.0,0,12,0.0,0.0,10000,0.0,0.0,0,0.0,0.0
SEP_p,max,0,8,0.019046714781460566,0.0,0,13,0.0,0.0,10000,0.0,0.0,0,0.0,0.0
SEP_p,max,0,8,0.019046714781460566,0.0,0,14,0.0,0.0,10000,0.0,0.0,0,0.0,0.0
SEP_p,max,0,8,0.019046714781460566,0.0,0,15,0.0,0.0,10000,0.0,0.0,0,0.0,0.0
SEP_p,max,0,8,0.019046714781460566,0.0,0,16,0.0,0.0,10000,0.0,0.0,0,0.0,0.0
SEP_p,max,0,8,0.019046714781460566,0.0,0,17,0.0,0.0,10000,0.0,0.0,0,0.0,0.0
SEP_p,max,0,8,0.019046714781460566,0.0,0,18,0.0,0.0,10000,0.0,0.0,0,0.0,0.0
SEP_p,max,0,8,0.019046714781460566,0.0,0,19,0.0,0.0,10000,0.0,0.0,0,0.0,0.0
SEP_p,max,0,8,0.019046714781460566,0.0,0,20,0.0,0.0,10000,0.0,0.0,0,0.0,0.0
