combo_label,M,seed_idx,organo_id,edep_J,s1_j,s2_j2,n,se_run_j,se_run_total_j
GCR_He_min_6,5000,0,29,8.54551e-09,8.54551e-09,1.23765e-20,67197,1.58123e-15,1.0625391231e-10
GCR_He_min_6,5000,0,30,2.94373e-10,2.94373e-10,1.13322e-22,2748,3.29159e-15,9.04528932e-12
GCR_He_min_6,5000,0,31,1.46484e-09,1.46484e-09,2.68517e-21,6770,7.18878e-15,4.866804059999999e-11
GCR_He_min_6,5000,0,32,1.3277e-09,1.3277e-09,1.27973e-21,9706,3.41433e-15,3.313948698e-11
GCR_He_min_6,5000,0,33,6.20509e-10,6.20509e-10,6.24373e-22,4389,5.27871e-15,2.3168258190000002e-11
GCR_He_min_6,5000,0,34,1.00786e-09,1.00786e-09,1.17486e-21,4984,6.25296e-15,3.116475264e-11
GCR_He_min_6,5000,0,35,1.63836e-09,1.63836e-09,1.70775e-21,12055,3.19689e-15,3.8538508950000004e-11
GCR_He_min_6,5000,0,36,1.9784e-10,1.9784e-10,2.34502e-22,1396,1.02966e-14,1.4374053599999999e-11
GCR_He_min_6,5000,0,37,1.57908e-10,1.57908e-10,1.14385e-22,782,1.16224e-14,9.0887168e-12
GCR_He_min_6,5000,0,38,4.98944e-10,4.98944e-10,6.03127e-22,3305,6.95233e-15,2.297745065e-11
GCR_He_min_6,5000,0,39,1.55719e-10,1.55719e-10,3.50476e-22,669,2.65169e-14,1.77398061e-11
GCR_He_min_6,5000,0,40,1.46535e-10,1.46535e-10,1.21716e-22,978,1.02179e-14,9.9931062e-12
GCR_He_min_6,5000,0,41,8.38606e-09,8.38606e-09,1.71665e-20,44964,2.77803e-15,1.2491134092e-10
GCR_He_min_6,5000,0,42,1.49416e-08,1.49416e-08,1.8749e-20,123859,1.05103e-15,1.3017952477000001e-10
GCR_He_min_6,5000,0,43,1.07452e-09,1.07452e-09,1.66569e-21,6334,6.08116e-15,3.851806744e-11
GCR_He_min_6,5000,0,44,1.97546e-09,1.97546e-09,2.14773e-21,16576,2.63823e-15,4.373130048e-11
GCR_He_min_6,5000,0,45,4.23123e-10,4.23123e-10,2.2183e-22,2661,4.67273e-15,1.2434134529999999e-11
GCR_He_min_6,5000,0,46,4.76861e-10,4.76861e-10,3.8333e-22,3670,4.88534e-15,1.79291978e-11
GCR_He_min_6,5000,0,47,2.18967e-10,2.18967e-10,1.72929e-22,1219,9.48575e-15,1.156312925e-11
GCR_He_min_6,5000,0,48,1.91188e-10,1.91188e-10,3.65046e-22,1606,1.15235e-14,1.8506741000000002e-11
GCR_He_min_6,5000,0,49,1.07488e-09,1.07488e-09,1.39553e-21,5433,6.33096e-15,3.439610568e-11
GCR_He_min_6,5000,0,50,1.48162e-09,1.48162e-09,1.07468e-21,11708,2.54415e-15,2.97869082e-11
GCR_He_min_6,5000,0,51,2.20883e-09,2.20883e-09,6.28919e-21,9979,7.63236e-15,7.616332043999999e-11
GCR_He_min_6,5000,0,52,3.80822e-09,3.80822e-09,7.8718e-21,26997,3.17235e-15,8.564393295e-11
GCR_He_min_6,5000,0,53,2.7191e-09,2.7191e-09,6.4122e-21,11505,6.60243e-15,7.596095715000001e-11
GCR_He_min_6,5000,0,54,4.53321e-09,4.53321e-09,7.53963e-21,30907,2.68274e-15,8.291544517999999e-11
GCR_He_min_6,5000,0,55,2.48507e-11,2.48507e-11,2.60764e-23,118,3.88548e-14,4.5848664e-12
GCR_He_min_6,5000,0,56,1.8438e-10,1.8438e-10,2.78077e-22,1445,1.10451e-14,1.59601695e-11
GCR_He_min_6,5000,0,57,4.41583e-11,4.41583e-11,6.51876e-23,355,2.17948e-14,7.737154e-12
GCR_He_min_6,5000,0,58,1.37763e-09,1.37763e-09,1.52477e-21,10583,3.46611e-15,3.6681842129999996e-11
GCR_He_min_6,5000,0,59,3.93812e-11,3.93812e-11,1.36465e-23,401,7.80808e-15,3.1310400800000002e-12
GCR_He_min_6,5000,0,60,6.93225e-11,6.93225e-11,5.0549e-23,512,1.25432e-14,6.4221184e-12
GCR_He_min_6,5000,0,61,1.99639e-09,1.99639e-09,1.3339e-21,18363,1.81998e-15,3.342029274e-11
GCR_He_min_6,5000,0,62,1.70377e-11,1.70377e-11,4.81904e-24,183,9.85207e-15,1.80292881e-12
GCR_He_min_6,5000,0,63,1.44135e-11,1.44135e-11,3.2339e-24,162,8.64994e-15,1.40129028e-12
GCR_He_min_6,5000,0,64,2.10818e-11,2.10818e-11,4.89132e-24,251,7.05203e-15,1.77005953e-12
GCR_He_min_6,5000,0,65,1.4505e-11,1.4505e-11,3.25224e-24,183,7.94529e-15,1.4539880699999998e-12
GCR_He_min_6,5000,0,66,2.84219e-13,2.84219e-13,2.42027e-26,5,2.00581e-14,1.002905e-13
GCR_He_min_6,5000,0,67,5.31877e-12,5.31877e-12,7.24566e-25,78,7.76231e-15,6.054601800000001e-13
GCR_He_min_6,5000,0,68,4.13903e-13,4.13903e-13,3.25583e-26,7,1.38741e-14,9.71187e-14
GCR_He_min_6,5000,0,69,1.17674e-11,1.17674e-11,5.82785e-24,93,2.25193e-14,2.0942949e-12
GCR_He_min_6,5000,0,70,7.10197e-11,7.10197e-11,1.29645e-22,641,1.72291e-14,1.1043853100000001e-11
GCR_He_min_6,5000,0,71,3.03598e-10,3.03598e-10,3.11586e-22,2616,6.3559e-15,1.66270344e-11
GCR_He_min_6,5000,0,72,8.49778e-10,8.49778e-10,8.76328e-22,7288,3.82561e-15,2.788104568e-11
GCR_He_min_6,5000,0,73,1.36542e-09,1.36542e-09,1.06399e-21,11660,2.57886e-15,3.00695076e-11
GCR_He_min_6,5000,0,74,1.05791e-08,1.05791e-08,1.2301e-20,88142,1.1916e-15,1.050300072e-10
GCR_He_min_6,5000,0,75,3.80433e-09,3.80433e-09,3.59244e-21,32234,1.73938e-15,5.606717492e-11
GCR_He_min_6,5000,0,76,9.8799e-10,9.8799e-10,8.85304e-22,9118,3.05973e-15,2.789861814e-11
GCR_He_min_6,5000,0,77,5.89876e-10,5.89876e-10,8.29083e-22,4925,5.59237e-15,2.754242225e-11
GCR_He_min_6,5000,0,78,4.02e-10,4.02e-10,2.38198e-22,3787,3.69286e-15,1.3984860819999999e-11
GCR_He_min_6,5000,0,79,6.92726e-10,6.92726e-10,6.60986e-22,6223,3.88324e-15,2.4165402520000004e-11
GCR_He_min_6,5000,0,80,4.05594e-10,4.05594e-10,2.74845e-22,3565,4.24263e-15,1.512497595e-11
GCR_He_min_6,5000,0,81,2.64178e-10,2.64178e-10,1.94287e-22,2278,5.61695e-15,1.27954121e-11
GCR_He_min_6,5000,0,82,7.11262e-10,7.11262e-10,5.11966e-22,6602,3.16061e-15,2.086634722e-11
