combo_label,species,phase,bin_index,energy_mev,M,seed_idx,seed1,seed2,exit_code,duration_s,macro_path,out_path
SEP_p_max_0,SEP_p,max,0,0.019046714781460566,5000,2,2034492904,2034492905,0,20.48,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/intrarun_pilot_20260921T022121Z/macros/SEP_p_max_0_M5000_seed2.mac,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/intrarun_pilot_20260921T022121Z/checkpoints/run_SEP_p_max_0_M5000_seed2.out
SEP_p_max_0,SEP_p,max,0,0.019046714781460566,10000,0,2034493900,2034493901,0,20.43,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/intrarun_pilot_20260921T022121Z/macros/SEP_p_max_0_M10000_seed0.mac,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/intrarun_pilot_20260921T022121Z/checkpoints/run_SEP_p_max_0_M10000_seed0.out
SEP_p_max_0,SEP_p,max,0,0.019046714781460566,10000,1,2034493902,2034493903,0,20.65,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/intrarun_pilot_20260921T022121Z/macros/SEP_p_max_0_M10000_seed1.mac,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/intrarun_pilot_20260921T022121Z/checkpoints/run_SEP_p_max_0_M10000_seed1.out
SEP_p_max_0,SEP_p,max,0,0.019046714781460566,10000,2,2034493904,2034493905,0,24.62,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/intrarun_pilot_20260921T022121Z/macros/SEP_p_max_0_M10000_seed2.mac,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/intrarun_pilot_20260921T022121Z/checkpoints/run_SEP_p_max_0_M10000_seed2.out
GCR_H_min_2,GCR_H,min,2,177.82794100389228,2500,0,2027491900,2027491901,0,22.33,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/intrarun_pilot_20260921T022121Z/macros/GCR_H_min_2_M2500_seed0.mac,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/intrarun_pilot_20260921T022121Z/checkpoints/run_GCR_H_min_2_M2500_seed0.out
GCR_H_min_2,GCR_H,min,2,177.82794100389228,2500,1,2027491902,2027491903,0,23.73,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/intrarun_pilot_20260921T022121Z/macros/GCR_H_min_2_M2500_seed1.mac,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/intrarun_pilot_20260921T022121Z/checkpoints/run_GCR_H_min_2_M2500_seed1.out
GCR_H_min_2,GCR_H,min,2,177.82794100389228,2500,2,2027491904,2027491905,0,23.43,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/intrarun_pilot_20260921T022121Z/macros/GCR_H_min_2_M2500_seed2.mac,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/intrarun_pilot_20260921T022121Z/checkpoints/run_GCR_H_min_2_M2500_seed2.out
GCR_H_min_2,GCR_H,min,2,177.82794100389228,5000,0,2027492900,2027492901,0,25.26,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/intrarun_pilot_20260921T022121Z/macros/GCR_H_min_2_M5000_seed0.mac,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/intrarun_pilot_20260921T022121Z/checkpoints/run_GCR_H_min_2_M5000_seed0.out
GCR_H_min_2,GCR_H,min,2,177.82794100389228,5000,1,2027492902,2027492903,0,25.38,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/intrarun_pilot_20260921T022121Z/macros/GCR_H_min_2_M5000_seed1.mac,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/intrarun_pilot_20260921T022121Z/checkpoints/run_GCR_H_min_2_M5000_seed1.out
GCR_H_min_2,GCR_H,min,2,177.82794100389228,5000,2,2027492904,2027492905,0,43.98,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/intrarun_pilot_20260921T022121Z/macros/GCR_H_min_2_M5000_seed2.mac,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/intrarun_pilot_20260921T022121Z/checkpoints/run_GCR_H_min_2_M5000_seed2.out
GCR_H_min_2,GCR_H,min,2,177.82794100389228,10000,0,2027493900,2027493901,0,31.81,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/intrarun_pilot_20260921T022121Z/macros/GCR_H_min_2_M10000_seed0.mac,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/intrarun_pilot_20260921T022121Z/checkpoints/run_GCR_H_min_2_M10000_seed0.out
GCR_H_min_2,GCR_H,min,2,177.82794100389228,10000,1,2027493902,2027493903,0,31.65,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/intrarun_pilot_20260921T022121Z/macros/GCR_H_min_2_M10000_seed1.mac,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/intrarun_pilot_20260921T022121Z/checkpoints/run_GCR_H_min_2_M10000_seed1.out
GCR_H_min_2,GCR_H,min,2,177.82794100389228,10000,2,2027493904,2027493905,0,33.74,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/intrarun_pilot_20260921T022121Z/macros/GCR_H_min_2_M10000_seed2.mac,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/intrarun_pilot_20260921T022121Z/checkpoints/run_GCR_H_min_2_M10000_seed2.out
